Company,Date,Time,Rocket,Mission,RocketStatus,MissionStatus,Day/Night Launch,Complex ID,Launch Site,Territory,Country
Martin Marietta,11/21/79,2:09:00,Titan III(23)C,DSCS-II 13&14,Retired,Success,Night,SLC-40,Cape Canaveral AFS,Florida,USA
General Dynamics,1/18/80,1:26:00,Atlas-SLV3D Centaur-D1AR,FLTSATCOM-3,Retired,Success,Night,SLC-36A,Cape Canaveral AFS,Florida,USA
Martin Marietta,2/7/80,21:10:00,Titan IIID,KH-11,Retired,Success,Night,SLC-4E,Vandenberg AFB,California,USA
General Dynamics,2/9/80,23:08:00,Atlas-E/F SGS-1,GPS-5,Retired,Success,Night,SLC-3E,Vandenberg AFB,California,USA
General Dynamics,3/3/80,9:27:00,Atlas-E/F MSD,NOSS-3,Retired,Success,Day,SLC-3W,Vandenberg AFB,California,USA
General Dynamics,4/26/80,22:00:00,Atlas-E/F SGS-1,GPS-6,Retired,Success,Night,SLC-3E,Vandenberg AFB,California,USA
General Dynamics,5/29/80,10:53:00,Atlas-E/F Star-37S-ISS,NOAA-B,Retired,Failure,Day,SLC-3W,Vandenberg AFB,California,USA
Martin Marietta,6/18/80,18:29:00,Titan IIID,KH-9),Retired,Success,Night,SLC-4E,Vandenberg AFB,California,USA
General Dynamics,10/31/80,3:54:00,Atlas-SLV3D Centaur-D1AR,FLTSATCOM-4,Retired,Success,Night,SLC-36A,Cape Canaveral AFS,Florida,USA
General Dynamics,12/6/80,23:31:00,Atlas-SLV3D Centaur-D1AR,Intelsat V -502,Retired,Success,Night,SLC-36B,Cape Canaveral AFS,Florida,USA
General Dynamics,12/9/80,7:18:00,Atlas-E/F MSD,NOSS-4,Retired,Failure,Day,SLC-3W,Vandenberg AFB,California,USA
Martin Marietta,12/13/80,,Titan III(34)B Agena-D,Quasar 4,Retired,Success,,SLC-4W,Vandenberg AFB,California,USA
General Dynamics,2/21/81,23:23:00,Atlas-SLV3D Centaur-D1AR,Comstar D4,Retired,Success,Night,SLC-36A,Cape Canaveral AFS,Florida,USA
US Air Force,2/28/81,19:15:00,Titan III(24)B,OPS 1166,Retired,Success,Night,SLC-4W,Vandenberg AFB,California,USA
